name,awards,publications,education
Gödel,3,3,"Gödel was born April 28, 1906, in Brünn, Austria-Hungary (now Brno, Czech Republic), into the German-speaking family of Rudolf Gödel (1874–1929), the managing director and part owner of a major textile firm, and Marianne Gödel (née Handschuh, 1879–1966).[6] At the time of his birth the city had a German-speaking majority which included his parents.[7] His father was Catholic and his mother was Protestant and the children were raised as Protestants. The ancestors of Kurt Gödel were often active in Brünn's cultural life. For example, his grandfather Joseph Gödel was a famous singer in his time and for some years a member of the Brünner Männergesangverein (Men's Choral Union of Brünn).[8]
"
Goel,1,0,
Goguen,0,6,"Goguen received his bachelor's degree in mathematics from Harvard University in 1963, and his PhD in mathematics from the University of California, Berkeley in 1968, where he was a student of the founder of fuzzy set theory, Lotfi Zadeh.[2]
"
Gold,0,0,"In 1956, he got a B.S. in mathematics from the California Institute of Technology,
in 1958, he got a M.S. in physics from Princeton University.[9]: vi 
In Jan 1965, got his Ph.D. from UCLA, supervised by Abraham Robinson.[13][9]: i [14][3]: 403 
"
Goldberg,0,3,"Goldberg was born in Cleveland, Ohio, on July 22, 1945.  Her parents moved to Chicago, Illinois when she was 11, where she spent the rest of her childhood.[1] She enjoyed problem solving and mathematics from a young age and was encouraged by her teachers to pursue mathematics.[1] In 1967, she earned a bachelor's degree in mathematics at the University of Michigan.[2]  Interested in the subject of computing, Goldberg worked as an intern with IBM during the summer of her junior year of college, where she learned how to program unit record machines.[3]  After graduating, she attended the University of Chicago, where she received her master's degree (in 1969) and a PhD (in 1973) in information science.[2] She completed her dissertation, ""Computer-Assisted Instruction: The Application of Theorem-proving to Adaptive Response Analysis,"" while working as a research associate at Stanford University.[4] She also served as a visiting researcher at Stanford.[5]
"
Goldberg,2,2,"Goldberg did his undergraduate studies at the Massachusetts Institute of Technology, graduating in 1982. After earning a master's degree at the University of California, Berkeley, he returned to MIT with funding from a prestigious Hertz Fellowship, finishing his doctorate there in 1987 with a thesis on the Efficient graph algorithms for sequential and parallel computers[3] supervised by Charles E. Leiserson.[G87][1]
"
Goldberg,0,0,"He attended high school at the University of Toronto Schools, graduating in 1991. In 1995, he received a B.Math from the University of Waterloo in pure mathematics and computer science. He obtained a Ph.D. from the University of California, Berkeley in December 2000. His thesis was entitled A Pseudonymous Communications Infrastructure for the Internet.[5] His advisor was Eric Brewer.
"
Goldsmith,0,4,"Goldsmith graduated from Princeton University in 1982, with a bachelor's degree in mathematics.[1]
She completed her Ph.D. at the University of Wisconsin–Madison in mathematics (with a minor in computer science) in 1988.
Her dissertation, Polynomial Isomorphisms and Near-Testable Sets, was supervised by Deborah Joseph.[2]
"
Goldreich,1,0,
Goldwasser,11,0,"Born in New York City, Goldwasser obtained her Bachelor of Science degree in 1979 in mathematics and science from Carnegie Mellon. She continued her studies in computer science at Berkeley, receiving a Master of Science degree in 1981 and a PhD in 1984.  While at Berkeley, she and her doctoral advisor, Manuel Blum, would propose the Blum-Goldwasser cryptosystem.[3]
"
Golub,0,26,
Golumbic,0,3,"Golumbic majored in mathematics at Pennsylvania State University, graduating in 1970 with bachelor's and master's degrees.[3] He completed his Ph.D. at Columbia University in 1975, with the dissertation Comparability Graphs and a New Matroid supervised by Samuel Eilenberg.[4]
"
Gonnet,0,0,"Gonnet received his doctorate in computer science from the University of Waterloo in 1977.  His thesis was entitled Interpolation and Interpolation-Hash Searching.  His advisor was J. Alan George.[7]
"
Goodfellow,0,0,"Goodfellow obtained his B.S. and M.S. in computer science from Stanford University under the supervision of Andrew Ng (co-founder and head of Google Brain), and his Ph.D. in machine learning from the Université de Montréal in April 2014, under the supervision of Yoshua Bengio and Aaron Courville.[6][7] Goodfellow's thesis is titled Deep learning of representations and its application to computer vision.[8][9]
"
Gosling,5,0,
Graham,0,0,"Graham and his family moved to Pittsburgh, Pennsylvania in 1968, where he later attended Gateway High School. Graham gained interest in science and mathematics from his father who was a nuclear physicist.[8]
"
Graham,0,0,
Graham,5,0,"Born in Cleveland, Graham received her A.B. in mathematics from Harvard in 1964.[4]
She did her graduate work in computer science at Stanford, receiving her M.S. in 1966 and her Ph.D. in 1971 under the supervision of David Gries.[5]
In 1971 she joined the faculty of the University of California, Berkeley, rising from assistant professor (1971–1976), through associate professor (1976–1981) to full professor from 1981 onwards.
"
Gray,5,0,
Greibach,0,0,
Gries,4,0,
Griswold,0,0,
Gropp,1,0,
Gruber,0,4,
Guberman,0,8,
Guha,0,0,"Guha did his schooling from Loyola High School, Pune and graduated with Bachelor of Technology in Mechanical Engineering from the Indian Institute of Technology Madras, Master of Science from University of California, Berkeley and Ph.D from Stanford University.[1][7]
"
Gunther,0,0,
Gutknecht,0,2,
Guy,0,0,
Griesemer,0,0,
Habermann,0,0,
Hahn,0,0,
Hall,0,2,
Hall,6,1,"Wendy Hall was born in west London and educated at Ealing Grammar School for Girls. She studied for undergraduate and postgraduate degrees in mathematics at the University of Southampton. She completed her Bachelor of Science (BSc) degree in 1974, and her Doctor of Philosophy (PhD) degree in 1977.[5] Her doctoral thesis was titled Automorphisms and coverings of Klein surfaces.[9] She later completed a Master of Science degree in Computing at City University London.[5][2]
"
Halpern,2,0,
Hamilton,11,9,"Margaret Elaine Heafield was born August 17, 1936, in Paoli, Indiana,[6] to Kenneth Heafield and Ruth Esther Heafield (née Partington).[7][8] The family later moved to Michigan,[9] where Margaret graduated from Hancock High School in 1954.[7] She studied mathematics at the University of Michigan in 1955 before transferring to Earlham College, where her mother had been a student;[10][11] she earned a BA in mathematics with a minor in philosophy in 1958.[10][12] She cites Florence Long, the head of the math department at Earlham, as helping with her desire to pursue abstract mathematics and become a mathematics professor.[13] She says her poet father and headmaster grandfather inspired her to include a minor in philosophy in her studies.[14]
"
Hamming,4,0,
Han,0,0,
Harary,0,0,
Harris,0,0,"Harris was born in 1929. He was brought up in London, where he took degrees in Classical Arabic[1] and in Middle East History at the School of Oriental and African Studies. He also studied at the American University in Cairo, and did postgraduate work on Lebanese history under Bernard Lewis, the leading Western authority on the Ottoman Empire. Lewis arranged for him to do research in the archives of the Quai d'Orsay in Paris.
"
Hartmanis,3,4,
Håstad,4,0,
Hatton,3,0,
Hawryszkiewycz,0,4,
Jifeng,0,0,
Hehner,0,0,
Hellman,5,0,
Heiser,11,0,
Hendler,0,0,"Hendler completed his Doctor of Philosophy degree at Brown University in 1986 with a thesis on automated planning and scheduling.[3]  He also has an MS (1981) in Cognitive Psychology from Southern Methodist University, a MSc (1983) from Brown University, and a BS (1978) from Yale University.
"
Hennessy,9,4,"Hennessy was raised in Huntington, New York, as one of six children.[10] His father was an aerospace engineer, and his mother was a teacher before raising her children.[10] He is of Irish-Catholic descent, with some of his ancestors arriving in America during the potato famine in the 19th century. [18]
"
Herbert,0,3,
Hewitt,0,0,"Hewitt obtained his PhD in mathematics at MIT in 1971, under the supervision of Seymour Papert, Marvin Minsky, and Mike Paterson. He began his employment at MIT that year,[8] and retired from the faculty of the MIT Department of Electrical Engineering and Computer Science during the 1999–2000 school year.[9] He became emeritus in the  department in 2000.[10] Among the doctoral students that Hewitt supervised during his time at MIT are Gul Agha, Henry Baker, William Clinger, Irene Greif,  and Akinori Yonezawa.[11]
"
Hightower,0,1,"Hightower grew up in Long Beach, California, then moved to Atlanta, Georgia with his mother as he was beginning high school. After high school he enrolled at Clayton State University, but found the technology courses to be lacking and didn't continue. He then began courses to earn his CompTIA A+ information technology (IT) certification.[3]
"
Hillis,3,0,
Hinton,9,0,"Hinton was educated at King's College, Cambridge. After repeatedly changing his degree between different subjects like natural sciences, history of art, and philosophy, he eventually graduated in 1970 with a bachelor of arts in experimental psychology.[11] He continued his study at the University of Edinburgh where he was awarded a PhD in artificial intelligence in 1978 for research supervised by Christopher Longuet-Higgins.[2][33]
"
Hirschberg,2,3,
Ho,0,0,"Ho completed her undergraduate education at the Chinese University of Hong Kong in 1984.  She received a Ph.D. in computer science from State University of New York at Buffalo in 1992.[1]
"
Hoare,5,0,"Tony Hoare was born in Colombo, Ceylon (now Sri Lanka) to British parents; his father was a colonial civil servant and his mother was the daughter of a tea planter. Hoare was educated in England at the Dragon School in Oxford and the King's School in Canterbury.[13] He then studied Classics and Philosophy (""Greats"") at Merton College, Oxford.[14] On graduating in 1956 he did 18 months National Service in the Royal Navy,[14] where he learned Russian.[15] He returned to the University of Oxford in 1958 to study for a postgraduate certificate in statistics,[14] and it was here that he began computer programming, having been taught Autocode on the Ferranti Mercury by Leslie Fox.[16] He then went to Moscow State University as a British Council exchange student,[14] where he studied machine translation under Andrey Kolmogorov.[15]
"
Hodes,0,0,
Holberton,4,0,"Holberton was born Frances Elizabeth Snyder in Philadelphia, Pennsylvania in 1917. Her father was John Amos Snyder (1884–1963), her mother was Frances J. Morrow (1892–1981), and she was the third child in a family of eight children.
"
Holland,1,5,
Hollerith,3,0,
Holzmann,4,0,
Hopcroft,7,5,"He received his bachelor's degree from Seattle University in 1961.[6] He received his master's degree and Ph.D. from Stanford University in 1962 and 1964, respectively. He worked for three years at Princeton University and since then has been at Cornell University. Hopcroft is the grandson of Jacob Nist, founder of the Seattle-Tacoma Box Company.[7]
"
Hopper,9,0,"Grace Brewster Murray was born in New York City. She was the eldest of three children. Her parents, Walter Fletcher Murray and Mary Campbell Van Horne, were of Scottish and Dutch descent, and attended West End Collegiate Church.[8] Her great-grandfather, Alexander Wilson Russell, an admiral in the US Navy, fought in the Battle of Mobile Bay during the Civil War.[8]: 2–3 
"
Horvitz,0,1,
Householder,0,0,
Hudak,6,0,
Huffman,5,0,"Huffman earned his bachelor's degree in electrical engineering from Ohio State University in 1944. Then, he served two years as an officer in the United States Navy. He returned to Ohio State to earn his master's degree in electrical engineering in 1949. In 1953, he earned his Doctor of Science in electrical engineering at the Massachusetts Institute of Technology (MIT), with the thesis The Synthesis of Sequential Switching Circuits, advised by Samuel H. Caldwell.[1][2][4]
"
Hughes,2,0,
Hui,2,0,"Hui was born in Hong Kong in 1953. In 1966, he immigrated to Canada with his entire family.[3]
"
Humphrey,3,12,
Hutchins,0,0,"Hutchins received her B.A. from the University of California,[1] San Diego, in 1967. During her undergraduate studies, Hutchins majored in physics and minored in linguistics. In 1970, she received her Ph.D. in computer science, also from the University of California, San Diego.[2]
"
Hoberman,0,0,
Ichbiah,0,0,
Ierusalimschy,0,0,
Ingalls,11,0,"Ingalls received his Bachelor of Arts (B.A.) in physics from Harvard University, and his Master of Science (M.S.) in electrical engineering from Stanford University. While working toward a Doctor of Philosophy (Ph.D.) at Stanford, he started a company to sell a software measurement invention that he perfected, and never returned to academia.
"
Irwin,13,0,"Mary Jane Irwin received her B.S. in Mathematics from Memphis State University in 1971, and her M.S. and Ph.D. in Computer Science from the University of Illinois in 1975 and 1977, respectively.  Her dissertation research on the topic of computer arithmetic was supervised by Dr. James Robertson.
"
Iverson,4,0,"Iverson began school on 1 April 1926 in a one-room school,[4] initially in Grade 1, promoted to Grade 2 after 3 months and to Grade 4 by the end of June 1927.
He left school after Grade 9 because it was the depths of the Great Depression and there was work to do on the family farm, and because he thought further schooling only led to becoming a schoolteacher and he had no desire to become one.  At age 17, while still out of school, he enrolled in a correspondence course on radios with De Forest Training in Chicago, and learned calculus by self-study from a textbook.[4][6]
During World War II, while serving in the Royal Canadian Air Force, he took correspondence courses toward a high school diploma.
"
Jacobson,0,9,
Jain,10,9,
Jain,0,3,"He graduated with a bachelor's degree from Visvesvaraya National Institute of Technology, Nagpur, India and has a Ph.D. in electronics engineering (1975) from Indian Institute of Technology, Kharagpur, India.[2]
"
James,0,0,
Johnson,2,0,
Johnson,0,0,"Johnson's passion for computing started at age five, when his grandfather took him along to his work at the Bureau of Standards. The computer he saw (""the size of a small house"") made a strong impression on him, and he decided he ""wanted to work with computers, and never looked back after"".[3]
"
Jones,0,0,
Jordan,5,0,"Jordan received his BS magna cum laude in Psychology in 1978 from the Louisiana State University, his MS in Mathematics in 1980 from Arizona State University and his PhD in Cognitive Science in 1985 from the University of California, San Diego.[19] At the University of California, San Diego, Jordan was a student of David Rumelhart and a member of the Parallel Distributed Processing (PDP) Group in the 1980s.
"
Joseph,5,0,"Joseph studied for a BSc in physics at Wilson College (Mumbai, India, 1962) and an MSc in the same subject at the University of Mumbai in 1964.[4] He later studied for a Postgraduate Diploma in electronics at the Welsh College of Advanced Technology (1965) and then undertook a PhD in computing at Churchill College, Cambridge under the supervision of David Wheeler[2] (awarded 1968).
"
Joshi,0,0,
Joy,4,0,
Jurafsky,3,0,"Jurafsky received his B.A in linguistics (1983) and Ph.D. in computer science (1992), both at University of California, Berkeley; and then a postdoc at International Computer Science Institute, Berkeley (1992–1995).
"
Kahan,1,0,
Kahn,11,0,
Kak,0,0,
Kamp,0,8,
Karger,3,0,"Karger received a Bachelor of Arts degree from Harvard University and a PhD in computer science from Stanford University.[3]
"
Karp,16,0,
Karmarkar,0,0,
Karpinski,0,0,
Kaehler,0,0,
Kay,4,0,
Kayal,0,0,"Kayal was born and raised in Guwahati, India.
"
Kellis,3,0,"Kellis was born in Greece, moved with his family to France when he was 12, and came to the U.S. in 1993.[25] He obtained his PhD from MIT, where he worked with Eric Lander, founding director of the Broad Institute, and Bonnie Berger, professor at MIT[26] and received the Sprowls award for the best doctorate thesis in Computer Science,[27] and the first Paris Kanellakis graduate fellowship.[28] Prior to computational biology, he worked on artificial intelligence, sketch and image recognition, robotics, and computational geometry, at MIT and at the Xerox Palo Alto Research Center.[26]
"
Kemeny,4,0,
Kennedy,0,0,
Kernighan,0,13,"Kernighan was born in Toronto. He attended the University of Toronto between 1960 and 1964, earning his bachelor's degree in engineering physics.[6] He received his Ph.D. in electrical engineering from Princeton University in 1969, completing a doctoral dissertation titled ""Some graph partitioning problems related to program segmentation"" under the supervision of Peter G. Weiner.[10][11]
"
Kesselman,0,0,
Kiczales,0,0,
Kirstein,3,0,"Kirstein was born on 20 June 1933 in Berlin, Germany, the son of Eleanor (Jacobsohn) and Walter Kirschstein.[4] His parents were dentists, and his father was awarded the Iron Cross during WWI. His family was Jewish and his mother had British citizenship from being born in London, so, fearing for their safety in Nazi governed-Germany the family immigrated to the UK in 1937.[4]
"
Kleene,8,8,
Klein,1,0,
Kleinrock,5,0,"Leonard Kleinrock was born in New York City on June 13, 1934, to a Jewish family,[3] and  graduated from the noted Bronx High School of Science in 1951. He received a Bachelor of Electrical Engineering degree in 1957 from the City College of New York, and a master's degree and a doctorate (Ph.D.) in electrical engineering and computer science from the Massachusetts Institute of Technology (MIT) in 1959 and 1963 respectively. He then joined the faculty at the University of California at Los Angeles (UCLA), where he remains to the present day; during 1991–1995 he served as the chairman of the Computer Science Department there.[4]
"
Knuth,14,26,"Knuth received a scholarship in physics to the Case Institute of Technology (now part of Case Western Reserve University) in Cleveland, Ohio, enrolling in 1956.[10] He also joined the Beta Nu Chapter of the Theta Chi fraternity. While studying physics at Case, Knuth was introduced to the IBM 650, an early commercial computer. After reading the computer's manual, Knuth decided to rewrite the assembly and compiler code for the machine used in his school because he believed he could do it better.[11]
"
Koenig,0,0,
Koller,5,0,"Koller received a bachelor's degree from the Hebrew University of Jerusalem in 1985, at the age of 17, and a master's degree from the same institution in 1986, at the age of 18.[11] She completed her PhD at Stanford in 1993 under the supervision of Joseph Halpern.[2]
"
Kölling,7,0,"Kölling was born in Bremen, Germany. He earned a degree in informatics from the University of Bremen.[citation needed] In 1999, he was awarded a Ph.D. in computer science from the University of Sydney, for research on the design of an object-oriented programming environment and language supervised by John Rosenberg.[5]
"
Kolmogorov,7,0,
Kolodner,6,8,"Kolodner graduated with a Bachelor of Arts degree in math and computer science from Brandeis University in 1976. She then completed her Master of Science degree in computer science in 1977 and her PhD in computer science in 1980 from Yale University.[13]
"
Korn,0,0,"David Korn received his undergraduate degree in mathematics from Rensselaer Polytechnic Institute in 1965 and his Ph.D. in applied mathematics from NYU's Courant Institute of Mathematical Sciences in 1969. After working on computer simulations of transsonic airfoils and developing the Korn airfoil,[2] he switched fields to computer science and became a member of technical staff at Bell Laboratories in 1976. He developed Korn shell in response to problems he and his colleagues had with the most commonly used shells at the time, Bourne shell and C shell. The Korn shell pioneered the practice of consultative user interface design, with input from Unix shell users, and from mathematical and cognitive psychologists.[citation needed] The user interface, which included a choice of editing styles (the choices included styles based on vi and on two variants of Emacs) was incorporated into, or copied by, most subsequent Unix shells. The Korn shell is backward-compatible with Bourne shell, but takes a lot of ideas from C shell, such as history viewing and vi-like command line editing.
"
Koster,0,0,
Kowalski,2,0,"He was educated at the University of Chicago, University of Bridgeport (BA in mathematics, 1963), Stanford University (MSc in mathematics, 1966), University of Warsaw and the University of Edinburgh (PhD in computer science, 1970).[1]
"
Koza,0,0,
Krogstie,0,3,
Kruskal,0,0,"He was a student at the University of Chicago earning a bachelor of science in mathematics in the year of 1948, and a master of science in mathematics in the following year 1949.[3] After his time at the University of Chicago Kruskal attended Princeton University, where he completed his Ph.D. in 1954, nominally under Albert W. Tucker and Roger Lyndon,[4] but de facto under Paul Erdős with whom he had two very short conversations.[5] Kruskal worked on well-quasi-orderings [4][6] and multidimensional scaling.[7]
He was a Fellow of the American Statistical Association, former president of the Psychometric Society, and former president of the Classification Society of North America. He also initiated and was first president of the Fair Housing Council of South Orange and Maplewood in 1963, and actively supported civil rights in several other organizations such as CORE.[8]
"
Kruusmaa,0,0,
Kurtz,1,0,"In 1951, Kurtz' first experience with computing came at the Summer Session of the Institute for Numerical Analysis at University of California, Los Angeles. His interests have included numerical analysis, statistics, and computer science ever since. He graduated in 1950 when he obtained his bachelor's degree majoring in mathematics and in 1956, at the age of 28, he went on to acquire his PhD from Princeton University. His thesis was on a problem of multiple comparisons in mathematical statistics.[3] Kurtz composed his first computer program in 1951 while working with computers at UCLA in the institute of numerical analysis. He performed this feat just after finishing grad school and one year into his tuition at Princeton University.
"
Ladner,4,0,
Lam,0,0,
Lamport,6,0,"Lamport was born into a Jewish family in Brooklyn, New York, the son of Benjamin and Hannah Lamport (née Lasser).[citation needed] His father was an immigrant from Volkovisk in the Russian Empire (now Vawkavysk, Belarus)[9] and his mother was an immigrant from the Austro-Hungarian Empire, now southeastern Poland.
"
Lampson,6,0,"After graduating from the Lawrenceville School (where in 2009 he was awarded the Aldo Leopold Award, also known as the Lawrenceville Medal, Lawrenceville's highest award to alumni), Lampson received an A.B. in physics (magna cum laude with highest honors in the discipline) from Harvard University in 1964 and a PhD in electrical engineering and computer science from the University of California, Berkeley in 1967.
"
Landin,0,6,
Lane,0,0,
Langefors,0,5,
Lattner,2,0,"Lattner studied computer science at the University of Portland, graduating in with a Bachelor of Science degree in 2000. While in Oregon, he worked as an operating system developer, enhancing Sequent Computer Systems's DYNIX/ptx.[9][11] He moved to the University of Illinois at Urbana-Champaign where he was awarded a Master of Science degree in 2002, followed by a PhD in 2005 for research on optimizing pointer-intensive programs, supervised by Vikram Adve.[12][13]
"
Lawrence,0,0,
Lazowska,0,0,
Lederberg,3,0,"Lederberg was born in Montclair, New Jersey, to a Jewish family, son of Esther Goldenbaum Schulman Lederberg and Rabbi Zvi Hirsch Lederberg, in 1925, and moved to Washington Heights, Manhattan as an infant.[4] He had two younger brothers. Lederberg graduated from Stuyvesant High School in New York City at the age of 15 in 1941.[5] After graduation, he was allowed lab space as part of the American Institute Science Laboratory, a forerunner of the Westinghouse Science Talent Search. He enrolled in Columbia University in 1941, majoring in zoology. Under the mentorship of Francis J. Ryan, he conducted biochemical and genetic studies on the bread mold Neurospora crassa. Intending to receive his MD and fulfill his military service obligations, Lederberg worked as a hospital corpsman during 1943 in the clinical pathology laboratory at St. Albans Naval Hospital, where he examined sailors' blood and stool samples for malaria. He went on to receive his undergraduate degree in 1944.
"
Lehman,3,0,
Leiserson,0,0,
Lenat,6,0,"Lenat was born in Philadelphia, United States, on September 13, 1950.[14] When he was 5, the family moved to Wilmington, Delaware, where his father, Nathan Lenat, owned a bottling plant.[14]  His father died when he was 13 and the family then returned to Pennsylvania, where he attended Cheltenham High School.[14]  His after-school job was cleaning rat cages and goose pens at Beaver College which motivated him to learn programming as a better occupation.[14]
"
LeCun,3,0,"He received a Diplôme d'Ingénieur from the ESIEE Paris in 1983 and a PhD in Computer Science from Université Pierre et Marie Curie (today Sorbonne University) in 1987 during which he proposed an early form of the back-propagation learning algorithm for neural networks.[14]
"
Lerdorf,0,0,"Lerdorf was born on Disko Island in Greenland and moved to Denmark in his early years.[2] Lerdorf's family moved to Canada from Denmark in 1980, and later moved to King City, Ontario in 1983.[3] He graduated from King City Secondary School in 1988, and in 1993 he graduated from the University of Waterloo with a Bachelor of Applied Science in Systems Design Engineering. He contributed to the Apache HTTP Server and he added the LIMIT clause to the mSQL DBMS. A variant of this LIMIT clause had already been around for a decade in mainframe relational database management systems (like Oracle Rdb running on VMS, formerly from Digital Equipment Corporation), but apparently it had not yet been picked up by the emerging PC-based databases. It was later adapted by several other SQL-compatible DBMS.[4][5] He released the first version of PHP in 1995.[6]
"
Levchin,0,0,"Born in Kyiv, Ukrainian SSR to a Ukrainian-Jewish family, Levchin moved to the United States and settled in Chicago in 1991.[3][4][5] In an interview with Emily Chang of Bloomberg, Levchin discussed his overcoming adversity as a child. He had respiratory problems and doctors doubted his chance of living. With guidance from his grandmother and his parents he took up the clarinet to expand his lung capacity.[6] He attended Mather High School, and then the University of Illinois at Urbana-Champaign, where he earned a bachelor's degree in computer science in 1997.
"
Levin,1,0,
Leyton-Brown,2,2,
Licklider,0,2,
Liddle,0,0,
Liedtke,0,0,"In the mid-1970s Liedtke studied for a diploma degree in mathematics at the Bielefeld University. His thesis project was to build a compiler for the programming language ELAN, which had been launched for teaching programming in German schools.[citation needed] The compiler was written in ELAN.
"
Lions,0,0,
Lindsey,0,0,
Lipton,3,0,
Liskov,3,0,"Liskov was born November 7, 1939, in Los Angeles, California,[4] to a Jewish family, the eldest of Jane (née Dickhoff) and Moses Huberman's four children.[5] She earned her bachelor's degree in mathematics with a minor in physics at the University of California, Berkeley in 1961. At Berkeley, she had only one other female classmate in her major.[6] She applied to graduate mathematics programs at Berkeley and Princeton. At the time Princeton was not accepting female students in mathematics.[7] She was accepted at Berkeley but instead moved to Boston and began working at Mitre Corporation, where she became interested in computers and programming. She worked at Mitre for one year before taking a programming job at Harvard working on language translation.[7]
"
Liu,0,2,"Liu studied computer science at Peking University earning a Bachelor of Science (B.Sc.). She moved to Tsinghua University for her graduate studies, earning a Master of Engineering (M.Eng.) in computer science in 1988. Liu was a graduate student at Cornell University, where she earned a Doctor of Philosophy (Ph.D.) in 1996.[2][4]
"
Long,5,0,
Lopez,3,0,
Lovegrove,0,0,"Gillian Lesley Lowther, now Gillian Lovegrove, was born in Yorkshire on 28 October 1942[1] and grew up in the Hull area.[2] She went to Malet Lambert School and then to Newnham College, Cambridge to study mathematics. After her first degree in 1964, she did a Masters-equivalent Diploma at Cambridge University in Numerical Analysis and Automatic Computing.
"
Lovelace,0,3,"From 1832, when she was seventeen, her mathematical abilities began to emerge,[22] and her interest in mathematics dominated the majority of her adult life.[38] Her mother's obsession with rooting out any of the insanity of which she accused Byron was one of the reasons that Ada was taught mathematics from an early age. She was privately educated in mathematics and science by William Frend, William King,[a] and Mary Somerville, the noted 19th-century researcher and scientific author. In the 1840s, the mathematician Augustus De Morgan extended her ""much help in her mathematical studies"" including study of advanced calculus topics including the ""numbers of Bernoulli"" (that formed her celebrated algorithm for Babbage's Analytical Engine).[39] In a letter to Lady Byron, De Morgan suggested that Ada's skill in mathematics might lead her to become ""an original mathematical investigator, perhaps of first-rate eminence"".[40]
"
Luckham,0,0,
Luks,0,3,
Lynch,9,0,"Lynch was born in Brooklyn, and her academic training was in mathematics. She attended Brooklyn College and MIT, where she received her Ph.D. in 1972 under the supervision of Albert R. Meyer.[2][3]
"
Thalmann,2,0,
Maibaum,6,0,
Marlow,3,0,
Manna,2,0,
Martin,3,29,
Martin,0,7,
Mashey,0,0,
Matiyasevich,7,0,"Yuri Matiyasevich was born in Leningrad on March 2, 1947. The first few classes he studied at school No. 255 with Sofia G. Generson, thanks to whom he became interested in mathematics. In 1961 he began to participate in all-Russian olympiads. From 1962 to 1963 he studied at Leningrad physical and mathematical school No. 239. Also from 7th to 9th grade he was involved in the mathematical circle of the Leningrad Palace of Pioneers. In 1963-1964 he completed 10th grade at the Moscow State University physics and mathematics boarding school No. 18 named after A. N. Kolmogorov.[1][2]
"
Matsumoto,0,0,
Mauchly,2,0,
Maulik,0,0,"He did his schooling from Nabadwip Bakultala High School, Nabadwip, Nadia and Ramakrishna Mission Vivekananda Centenary College,[5] Rahara, 24 Parganas (North) both in West Bengal.  Subsequently, he completed B.Sc. in Physics and B. Tech. in Computer Science from University of Calcutta,[6] Kolkata, West Bengal, India in 1986 and 1989.  He also received his M. Tech. in Computer Science and Ph.D. in Engineering in 1992 and 1997 at Jadavpur University,[7] Kolkata, West Bengal, India. He did post-doctoral research at the University of New South Wales, Australia[8] in 1999 and the University of Texas, Arlington,[9] U.S. in 2001.
"
McAuley,1,0,
McCarthy,7,14,"John McCarthy was born in Boston, Massachusetts, on September 4, 1927, to an Irish immigrant father and a Lithuanian Jewish immigrant mother,[4] John Patrick and Ida (Glatt) McCarthy. The family was obliged to relocate frequently during the Great Depression, until McCarthy's father found work as an organizer for the Amalgamated Clothing Workers in Los Angeles, California. His father came from Cromane, a small fishing village in County Kerry, Ireland.[5] His mother died in 1957.[6]
"
McCallum,2,0,
McIlroy,0,0,
McKinstry,0,0,
McKusick,0,0,
Meertens,1,0,
Mehlhorn,4,5,"Mehlhorn graduated in 1971 from the Technical University of Munich, where he studied computer science and mathematics, and earned his Ph.D. in 1974 from Cornell University under the supervision of Robert Constable. Since 1975 he has been on the faculty of Saarland University in Saarbrücken, Germany, where he was chair of the computer science department from 1976 to 1978 and again from 1987 to 1989. Since 1990 has been the director of the Max Planck Institute for Computer Science, also in Saarbrücken. He has been on the editorial boards of ten journals, a trustee of the International Computer Science Institute in Berkeley, California, and a member of the board of governors of Jacobs University Bremen. He also served on the Engineering and Computer Science jury for the Infosys Prize from 2009 to 2011.[3]
"
Metcalf,0,0,
Meyer,0,0,"Meyer received a master's degree in engineering from the École Polytechnique[2] in Paris, a second master's degree from Stanford University, and a PhD from the Université de Nancy. He had a technical and managerial career for nine years at Électricité de France, and for three years was a member of the faculty of the University of California, Santa Barbara.
"
Micali,3,0,
Milner,4,7,"Milner was born in Yealmpton, near Plymouth, England into a military family. He gained a King's Scholarship to Eton College in 1947, and was awarded the Tomline Prize (the highest prize in Mathematics at Eton) in 1952. Subsequently, he served in the Royal Engineers, attaining the rank of Second Lieutenant.  He then enrolled at King's College, Cambridge, graduating in 1957. Milner first worked as a schoolteacher then as a programmer at Ferranti, before entering academia at City University, London, then Swansea University, Stanford University, and from 1973 at the University of Edinburgh, where he was a co-founder of the Laboratory for Foundations of Computer Science (LFCS). He returned to Cambridge as the head of the Computer Laboratory in 1995 from which he eventually stepped down, although he was still at the laboratory. From 2009, Milner was a Scottish Informatics & Computer Science Alliance Advanced Research Fellow and held (part-time) the Chair of Computer Science at the University of Edinburgh.
"
Minker,1,0,"Minker was born on July 4, 1927[3] in Brooklyn, New York. He received his Bachelor of Arts degree from Brooklyn College in 1949,[3] Master of Arts degree from the University of Wisconsin in 1950,[3] and PhD from the University of Pennsylvania in 1959 for research supervised by Bernard Epstein.[1]
"
Minsky,6,0,
Mitchell,9,0,
Mitchell,3,4,"Mitchell was born in Blossburg, Pennsylvania and grew up in Upstate New York, in the town of Vestal.[5][6] He received his bachelor of Science degree in Electrical Engineering from the Massachusetts Institute of Technology in 1973 and a Ph.D. from Stanford University under the direction of Bruce G. Buchanan in 1979.
"
Mithal,0,0,
